요리명,재료(계량 포함),재료,레시피,관련 질환,질환별 추천 식재료
함초김치,"함초 25g, 알배추 50g, 양파 50g, 무 100g, 간편 어간장 15g
국물 : 오렌지주스 50g, 유자청 30g, 식초 15g, 설탕 15g, 야채국물 800g","함초, 간편어간장, 양파, 알배추, 무, 야채국물, 설탕, 식초, 유자청, 국물:오렌지주스","1. 함초는 먹기 좋게 썰어준다.2. 알 배추, 무, 양파도 먹기 좋게 썬다.3. 오렌지주스와 유자청을 넣어 국물을 만든다.4. 볼에 함초, 알배추, 무를 넣어 섞고 어간장을
넣어 살짝 절여준다.5. 절여진 재료에 국물을 부어준다.6. 3시간 정도 후부터 먹을 수가 있다.",당뇨병,다시마 미역 김 해파리 채소 쑥 토마토 고추 오이 가지 마늘 양파 도라지 무 당근 우엉 상추 양배추 시금치 브로콜리 부추 버섯 표고버섯 송이버섯 느타리버섯 팽이버섯 목이버섯 복숭아 포도 사과 배 감 귤 매실 잣 호두 아몬드 호박씨 해바라기씨 땅콩 참깨 찹쌀 현미 흑미 콩 수수 보리쌀 우뭇가사리 강낭콩 
연어스테이크,"연어 150g, 건조다시마 사방 10cm 1장, 잎녹차 5g, 브로콜리 15g, 호두10g
귀리 20g, 쌀 20g, 미소된장 5g, 흰후추 1g, 화이트와인 15g,, 생크림 50g
수제조미료 10g, 닭육수 150g, 버터 5g","잎녹차, 연어, 브로콜리, 건조다시마사방10cm, 호두10g, , 쌀, 생크림, 미소된장, 귀리, 흰후추, 화이트와인, 닭육수, 수제조미료, 버터","1. 연어는 불려준 다시마에 싸주어 24시간 염지
시켜준다.2. 잎 녹차는 물에 불려준다.3. 뒤 수분을 빼주고 팬에 올려서 연어를 약불
에서 구워내 준다.4. 브로콜리, 호두도 먹기 좋게 잘라준다.5. 귀리와 쌀은 1시간정도 불려준다.6. 닭 육수와 미소된장을 넣어 볶아주다가 불린
쌀을 넣어 볶아주어 리조또를 완성하고 접시에
리조또를 담고 구운 연어를 올려 완성한다.",뇌졸중,두부 된장 청국장 호두 잣 정어리 다시마 미역 꽁치 동태 생선 조개류 쌀 보리 감자 고구마 메밀 효소 소맥배아  채소 뱀장어 정어리 강낭콩 콩 토마토 당근 귤 오렌지 레몬 김 현미 깨 멸치 두유 우유
웰빙꼬치,"닭가슴살 150g, 자숙새우 100g, 소라살 100g, 방울토마토 80g
단호박 100g, 대파 50g, 2가지색 파프리카 100g
양파 100g, 흰 후추 2g, 레드와인 30g, 다진 마늘 15g, 올리브오일 30g, 통후추 3g
소스 : 발사믹 식초 100g, 설탕 30g, 버터 30g","닭가슴살, 자숙새우, 소라살, 방울토마토, 2가지색파프리카, 단호박, 대파, 다진마늘, 레드와인, 올리브오일, 흰후추, 양파, 통후추, 소스:발사믹식초, 설탕, 버터","1. 닭가슴살과 단호박은 사방 2.5cm 크기로
잘라준다.2. 양파 2가지, 색파프리카, 대파는 닭 크기와
비슷하게 잘라준다.3. 닭가슴살과 소라살은 통후추, 올리브오일에
재워준다.4. 소스를 만들어준다.5. 모든 재료를 꼬치에 꽂는다.6. 꼬치를 팬에 구워주면서 소스를 발라준다.",고혈압,쑥갓 당근 감잎 감 즙 샐러리 미나리 다시마 양파 완두콩 꽁치 동태 생선
매운닭날개구이,"닭날개 100g, 감자 80g, 방울토마토 100g, 브로콜리 30g
마늘 15g, 양파 50g, 버터 15g, 후추 1g, 황설탕 5g
고춧가루 5g, 레드와인 30g, 멕시코고추 1g","감자, 닭날개, 브로콜리, 방울토마토, 황설탕, 후추, 버터, 양파, 마늘, 고춧가루, 멕시코고추, 레드와인","1. 닭날개를 멕시코고추와 고추가루에 설탕,
다진마늘, 후추를 넣어 밑간을 해준다.2. 감자는 먹기 좋게 썰어 뜨거운 물에 70%
정도 익혀준다.3. 감자는 데쳐 낸 후 버터에 볶아준다.4. 브로콜리는 데치고, 사과와 토마토는 잘게
잘라준다.5. 냄비에 다진마늘과 다진양파를 볶아주다
토마토를 넣어 소스를 만들어준다.6. 닭날개를 팬에 구워주고 감자와 샐러드를
곁들여 완성한다.",당뇨병,다시마 미역 김 해파리 채소 쑥 토마토 고추 오이 가지 마늘 양파 도라지 무 당근 우엉 상추 양배추 시금치 브로콜리 부추 버섯 표고버섯 송이버섯 느타리버섯 팽이버섯 목이버섯 복숭아 포도 사과 배 감 귤 매실 잣 호두 아몬드 호박씨 해바라기씨 땅콩 참깨 찹쌀 현미 흑미 콩 수수 보리쌀 우뭇가사리 강낭콩 
웰빙카레죽,"카레가루 45g, 귀리밥 200g, 닭가슴살 150g, 애호박 25g
감자 60g, 양파 60g, 방울토마토 100g
마늘 100g, 버터 15g, 칵테일새우 30g","닭가슴살, 카레가루, 귀리밥, 애호박, 감자, 방울토마토, 양파, 칵테일새우, 마늘, 버터","1. 카레가루를 물에 풀어서 30분 정도 숙성
시켜준다.2. 닭가슴살은 사방 1cm 크기로 잘라주고,
칵테일새우도 세척해 준비한다.3. 알 마 늘 , 감자는 사 방 1 c m 길이로 잘라
물 400g에 먼저 익혀준다.4. 방울토마토, 애호박은 사방 1cm 크기로
썰어준다.5. 끓고 있는 냄비에 풀어 놓은 카레가루를 섞어
다시 끓여준다.6. 양파는 사방 1cm 길이로 잘라주고 끓고 있는
카레에 양파, 방울토마토, 애호박을 넣고
끓여 완성한다.",당뇨병,다시마 미역 김 해파리 채소 쑥 토마토 고추 오이 가지 마늘 양파 도라지 무 당근 우엉 상추 양배추 시금치 브로콜리 부추 버섯 표고버섯 송이버섯 느타리버섯 팽이버섯 목이버섯 복숭아 포도 사과 배 감 귤 매실 잣 호두 아몬드 호박씨 해바라기씨 땅콩 참깨 찹쌀 현미 흑미 콩 수수 보리쌀 우뭇가사리 강낭콩 
귤백설기,"쌀 50g,(불린쌀 70g), 백설탕 10g, 소금 0.6g, 물 10g 귤 100g(귤껍질 20g, 과육 80g), 황설탕 5g, 잣 2g, 땅콩 2g, 호두 2g",", 백설탕, 호두, 황설탕, 쌀, 잣, 물10g귤100g(귤껍질, 소금, 땅콩, 과육","1. 쌀은 3~5시간 정도 불려 물기를 제거하고 믹서기에 간다.2. 귤을 씻어 껍질은 벗겨서 가늘게 채 썰고 과육은 잘게 썰고  냄비에 귤껍질, 귤알맹이, 황설탕을 넣고 수분이 없어질 때까지 졸여 감귤조림을 만든다.3. 잣, 땅콩, 호두는 굵게 다진다.4. 쌀가루에 소금과 물을 넣고 체에 내린 다음 백설탕을 넣고 골고루 섞는다.5. 시루에 쌀가루를 넓게 펴 놓고 그 위에 감귤조림과 4의 견과류를 뿌리고 다시 쌀가루를 넓게 펴 놓는다.6. 김이 오른 찜통에 시루를 올려 중불에서 25분 찐 후 5분간 뜸 들인다.7. 김이 오른 찜통에 시루를 올려 중불에서 25분 찐 후 5분간 뜸 들인다. (d)",뇌졸중,두부 된장 청국장 호두 잣 정어리 다시마 미역 꽁치 동태 생선 조개류 쌀 보리 감자 고구마 메밀 효소 소맥배아  채소 뱀장어 정어리 강낭콩 콩 토마토 당근 귤 오렌지 레몬 김 현미 깨 멸치 두유 우유
닭가슴살 두부선,"닭고기(가슴살) 50g, 두부 120g, 비트 10g, 시금치 10g, 베이비채소 1g, 마늘 2g, 참기름 1.5g, 흑임자 3g, 플레인요거트 15g, 식초 0.5g, 설탕 1g, 소금 0.2g","설탕, 참기름, 베이비채소, 비트, 두부, 식초, 소금, 시금치, 닭고기, 플레인요거트, 마늘, 흑임자","1. 닭가슴살, 두부, 소금을 믹서에 간다.2. 1에 간 마늘과 소금, 참기름을 섞는다.3. 반죽 1/3은 비트물, 1/3은 시금치물을 넣어 색을 입힌다.4. 틀에 반죽을 층층이 쌓아 모양을 만든 뒤 오븐에 찐다.5. 흑임자가루, 플레인요거트, 식초, 설탕을 섞어 드레싱을 만든다.6. 접시에 담고 소스와 베이비채소를 얹는다.",당뇨병,다시마 미역 김 해파리 채소 쑥 토마토 고추 오이 가지 마늘 양파 도라지 무 당근 우엉 상추 양배추 시금치 브로콜리 부추 버섯 표고버섯 송이버섯 느타리버섯 팽이버섯 목이버섯 복숭아 포도 사과 배 감 귤 매실 잣 호두 아몬드 호박씨 해바라기씨 땅콩 참깨 찹쌀 현미 흑미 콩 수수 보리쌀 우뭇가사리 강낭콩 
완두콩과 당근을 넣은 감자요거트 샐러드,"완두콩 10g, 당근 10g, 감자 50g, 플레인요거트 20g","당근, 감자, 완두콩, 플레인요거트","1. 완두콩을 삶아 건진다.2. 감자는 삶은 뒤 건져 껍질을 벗긴다.3. 감자가 뜨거울 때 곱게 으깬다.4. 당근을 잘게 다진다.5. 으깬 감자와 완두콩, 당근을 섞는다.6. 5에 플레인요거트를 섞는다.",고혈압,쑥갓 당근 감잎 감 즙 샐러리 미나리 다시마 양파 완두콩 꽁치 동태 생선
무오색쌈,"쌈무 10.5g, 쇠고기 4.5g, 달걀 2.4g, 당근 3.3g, 표고버섯 3.2g, 오이 7.8g, 연겨자 0.28g, 진간장 0.05g, 식초 0.57g, 참기름 0.14g, 깐마늘 0.3g, 설탕 0.1g, 통깨 0.01g, 소금 0.05g","쇠고기, 설탕, 참기름, 오이, 쌈무, 통깨, 달걀, 식초, 당근, 소금, 깐마늘, 표고버섯, 연겨자, 진간장","1. 당근, 오이, 표고버섯은 5cm 길이로 가늘게 채썬다.2. 당근, 오이, 표고버섯은 각각 살짝 볶아내어 식혀둔다.3. 쇠고기는 간장, 설탕, 마늘, 참기름을 넣어 밑간하여 볶아낸다.4. 달걀은 얇게 지단을 부쳐 5cm 길이로 썬다.5. 연겨자, 식초, 마늘, 설탕, 깨를 넣어 소스를 만든다.6. 모든 재료를 소스에 버무린 다음 무쌈과 함께 낸다.",당뇨병,다시마 미역 김 해파리 채소 쑥 토마토 고추 오이 가지 마늘 양파 도라지 무 당근 우엉 상추 양배추 시금치 브로콜리 부추 버섯 표고버섯 송이버섯 느타리버섯 팽이버섯 목이버섯 복숭아 포도 사과 배 감 귤 매실 잣 호두 아몬드 호박씨 해바라기씨 땅콩 참깨 찹쌀 현미 흑미 콩 수수 보리쌀 우뭇가사리 강낭콩 
흑마늘견과류조림,"통마늘 10g, 마카다미아 5g, 호두 5g, 아몬드 5g, 캐슈넛 2g, 땅콩 2g, 대두유 5g, 흑마늘진액 5g, 간장 2g, 물엿 2g , 깨 2g","통마늘, 캐슈넛, 호두, 대두유, 흑마늘진액, 깨, 마카다미아, 땅콩, 간장, 물엿, 아몬드","1. 통마늘과 견과류들은 먹기 좋은 크기로 자른다.2. 흑마늘 진액과 간장, 물엿, 물을 넣어 흑마늘 소스를 만든다.3. 대두유를 두르고 마늘을 팬에 노릇하게 구워준다.4. 구워진 마늘에 각종 견과류를 넣어 볶는다.5. 소스를 넣어 조린다.6. 그릇에 담고 깨를 뿌려 마무리한다.",당뇨병,다시마 미역 김 해파리 채소 쑥 토마토 고추 오이 가지 마늘 양파 도라지 무 당근 우엉 상추 양배추 시금치 브로콜리 부추 버섯 표고버섯 송이버섯 느타리버섯 팽이버섯 목이버섯 복숭아 포도 사과 배 감 귤 매실 잣 호두 아몬드 호박씨 해바라기씨 땅콩 참깨 찹쌀 현미 흑미 콩 수수 보리쌀 우뭇가사리 강낭콩 
고구마 찰 빵,"(반죽재료) 쌀가루 120g, 타피오카 전분 80g, 비트가루 15g, 물 140g, 르뱅 발효종 160g, 소금 2g, 올리브유 25g,
(속재료)  고구마 30g, 생크림 10g, 김치 70g, 양파30g , 기름5g","올리브유, 르뱅발효종, 타피오카전분, , 물, 쌀가루, 소금, 비트가루, 기름5g, 김치, 생크림, 양파30g, 고구마","1. (속재료) 고구마는 쪄서 으깬 후 생크림을 넣어 부드러운 무스를 만든다.
 양파와 김치는 다지고, 기름 두른 팬에 양파를 볶아 단맛을 낸 다음 김치를 볶아 볶음 김치를 만든다.2. 반죽재료를 모두 넣고 1단으로 믹싱한 후 올리브유를 넣고 최종단계 직전까지 믹싱한다.3. 1차 발효 후에 반죽을 각 100g씩 총 3개로 분할하여 둥글리기 한 후 랩을 덮어 중간발효(10분)를 해준다.4. 반죽에 고구마 무스 ,볶음김치을 넣어 싼 후 고구마 모양으로 만들어 준다.
★이음새가 벌어지면 구우면서 반죽이 터져지니 꼼꼼히 붙여주세요.5. 팬닝 후 2차 발효(30분)를 한다.6. 윗불 160℃, 아랫불 180℃에서 15분 굽는다.",뇌졸중,두부 된장 청국장 호두 잣 정어리 다시마 미역 꽁치 동태 생선 조개류 쌀 보리 감자 고구마 메밀 효소 소맥배아  채소 뱀장어 정어리 강낭콩 콩 토마토 당근 귤 오렌지 레몬 김 현미 깨 멸치 두유 우유
브로콜리견과류복음,"브로콜리 70g, 아몬드슬라이스 5g, 캐슈넛 10g, 무염버터 10g, 소금 0.3g","캐슈넛, 아몬드슬라이스, 소금, 브로콜리, 무염버터","1. 끓는 물에 한 입 크기로 썬 브로콜리를 데친다.2. 오븐에 아몬드슬라이스, 캐슈넛을 굽는다.3. 프라이팬에 무염버터를 녹인다.4. 버터가 녹으면 브로콜리를 넣어 불향이 나도록 볶는다.5. 구운 견과류를 넣어 볶다가 소금으로 간한다.6. 보기 좋게 담는다.",당뇨병,다시마 미역 김 해파리 채소 쑥 토마토 고추 오이 가지 마늘 양파 도라지 무 당근 우엉 상추 양배추 시금치 브로콜리 부추 버섯 표고버섯 송이버섯 느타리버섯 팽이버섯 목이버섯 복숭아 포도 사과 배 감 귤 매실 잣 호두 아몬드 호박씨 해바라기씨 땅콩 참깨 찹쌀 현미 흑미 콩 수수 보리쌀 우뭇가사리 강낭콩 
유린기,"닭고기(다리살) 110g, 양상추 25g, 그린치커리 5g, 라디치오 5g, 홍고추 5g, 청양고추 5g, 대파 5g, 무순 3g, 식초 5g, 간장 5g, 옥수수전분 5g, 레몬 2g, 설탕 1.5g, 마늘 1g, 생강 1g","그린치커리, 레몬, 설탕, 양상추, 라디치오, 옥수수전분, 무순, 대파, 식초, 간장, 닭고기, 생강, 마늘, 청양고추, 홍고추","1. 대파, 생강, 마늘을 다져 기름에 볶는다.2. 1에 간장, 식초, 물, 설탕, 레몬을 넣고 약한불에서 5분 정도 끓여 식힌다.3. 양상추, 치커리, 라디치오는 세척한 뒤 뜯어 찬물에 담그고 홍고추, 청양고추는 다져 소스에 넣는다.4. 무순은 찬물에 담궈두고 닭다리살은 깨끗이 씻는다.5. 닭다리살에 전분을 묻혀 팬에 식용유를 두른 뒤 노릇하게 굽는다.6. 그릇에 양상추, 치커리, 라디치오를 깔고 구운 닭다리살을 담은 뒤 소스와 무순을 올린다.",뇌졸중,두부 된장 청국장 호두 잣 정어리 다시마 미역 꽁치 동태 생선 조개류 쌀 보리 감자 고구마 메밀 효소 소맥배아  채소 뱀장어 정어리 강낭콩 콩 토마토 당근 귤 오렌지 레몬 김 현미 깨 멸치 두유 우유
단호박 호밀빵,"(반죽재료) 통밀가루 200g, 강력분 200g, 전립분 40g, 소금 15g, 드라이이스트 5g, 물 150ml, 베이킹파우더 10g
(속재료) 단호박 20g, 참깨 10g","물, 베이킹파우더, 통밀가루, 소금, 강력분, 드라이이스트, 전립분, 참깨, 단호박","1. (속재료) 단호박은 쪄서 먹기 좋은 크기로 썰어둔다.2. 통밀가루와 강력분, 전립분, 물, 소금을 섞어 5℃에서 반나절동안 1차 발효를 시킨다.3. 반죽을 썰어 모양을 잡고, 중간발효를 15분동안 한다.4. 반죽 가운데에 썰은 단호박과 참깨를 넣고 가볍게 접어서 말아 면포에 올린다.5. 굽기 전에 쿠프(칼집내기)를 한다.6. 230℃ 로 예열한 오븐에 넣고 스팀 후 210℃에서 25분 굽는다.",당뇨병,다시마 미역 김 해파리 채소 쑥 토마토 고추 오이 가지 마늘 양파 도라지 무 당근 우엉 상추 양배추 시금치 브로콜리 부추 버섯 표고버섯 송이버섯 느타리버섯 팽이버섯 목이버섯 복숭아 포도 사과 배 감 귤 매실 잣 호두 아몬드 호박씨 해바라기씨 땅콩 참깨 찹쌀 현미 흑미 콩 수수 보리쌀 우뭇가사리 강낭콩 
미숫가루 스콘,"버터 40g, 박력분 90g, 강력분 90g, 미숫가루 70g, 베이킹파우더 10g, 우유 66g, 달걀 50g(1개), 건크랜베리 20g, 호두 20g","호두, 베이킹파우더, 건크랜베리, 강력분, 달걀, 미숫가루, 버터, 우유, 박력분","1. 체 친 강력분, 박력분, 미숫가루, 베이킹파우더와 버터를 카드를 이용해 잘게 잘라 섞는다.
★ 자르듯이 섞어야 글루텐이 생기는 것을 최소화 해, 바삭한 질감을 얻을 수 있어요.2. 계란과 우유를 섞어 넣고 카드로 잘라 주듯이 섞는다.3. 가루가 약간 보일 때쯤 건크랜베리와 호두를 넣어 같이 반죽한다.4. 뭉쳐진 반죽을 비닐에 싸서 냉장고에서 1시간 이상 휴지시킨다.5. 휴지시킨 반죽을 밀대로 밀어주고 여러 겹 쌓이도록 3접절이를 5회 정도 해준 후 카드로 일정하게 자른다.6. 오븐팬에 놓고 겉면 코팅을 위해 계란물을 얇게 발라준 후 180℃로 예열된 오븐에서 20분 정도 굽는다.",뇌졸중,두부 된장 청국장 호두 잣 정어리 다시마 미역 꽁치 동태 생선 조개류 쌀 보리 감자 고구마 메밀 효소 소맥배아  채소 뱀장어 정어리 강낭콩 콩 토마토 당근 귤 오렌지 레몬 김 현미 깨 멸치 두유 우유
고구마 공갈빵,"(반죽재료) 강력분 300g, 이스트 6g, 소금 4g, 버터 10g, 물 170ml 
(속재료) 고구마 3~4개, 우유20g","물, 소금, 강력분, 버터, 이스트, 고구마, 우유20g","1. (속재료) 고구마를 삶아서 껍질을 제거하고 우유를 넣어가며 으깨서 부드러운 무스 상태로 만든다.
★ 고구마를 물에 삶으면 수분이 많아 우유량을 조절해야 해요.2. 버터를 제외한 모든 반죽 재료를 넣고 클린업 단계까지 믹싱하다가 버터를 넣어 최종단계까지 믹싱한다.3. 반죽은 처음 부피의 2배 정도 되도록 1차 발효하여 50g씩 분할하여 둥글리기 한 다음 중간 발효(10-15분)한다.4. 중간 발효가 끝난 반죽은 납작하게 펴고 만들어 놓은 고구마무스를 넣어 동그란 모양으로 일정하게 만든 후 팬닝한다.5. 팬닝된 반죽을 호떡처럼 윗면을 살짝 눌러준다.6. 190℃에서 15분 정도 굽는다.",뇌졸중,두부 된장 청국장 호두 잣 정어리 다시마 미역 꽁치 동태 생선 조개류 쌀 보리 감자 고구마 메밀 효소 소맥배아  채소 뱀장어 정어리 강낭콩 콩 토마토 당근 귤 오렌지 레몬 김 현미 깨 멸치 두유 우유
검은콩 크림빵,"(반죽재료)강력분 300g, 물 250ml, 이스트 8g,  호밀가루 50g, 검은콩가루 24g, 올리브유 4g,호두 50g, 크랜베리 24g,
(속재료) 불린 검은콩 300g ,우유 200g , 달걀 50g(1개) ,소금 3g","올리브유, 호두, , 호밀가루, 물, 강력분, 검은콩가루, 크랜베리, 이스트, 우유, 불린검은콩, 소금, 달걀","1. (속재료) 물에 불린 검은 콩을 30-40분 정도 삶은 다음 콩과 물을 분리시켜 식힌다. 식은 검은콩에 우유, 계란, 소금을 넣고 믹서에 갈고 끓여 검은콩 크림을 만든다. 이때 검은콩 물로 농도를 맞춘다.2. 호두, 크랜베리를 제외한 모든 재료를 섞어 한 덩어리가 되면 호두와 크랜베리를 넣어 밖으로 빠져 나오지 않게 잘 넣어가며 반죽한다.3. 처음 부피의 2배 정도 부풀게 1차 발효를 하고 발효가 끝나면 반죽을 6개로 분할하여 둥글리기하여 중간 발효한다.4. 중간 발효한 반죽을 공기를 빼주고 양끝을 접어 바게트 모양으로 만들어 주고 팬에 3개씩 팬닝한다.5. ""윗불 180℃, 아랫불 160℃에서 약 20-30분정도 구워 준 뒤 냉각팬에 옮겨 식힌다.
★팬에 크기에 따라 2회로 나눠 구워요.""6. 식은 빵을 반으로 갈라 검은콩크림을 넣는다.",뇌졸중,두부 된장 청국장 호두 잣 정어리 다시마 미역 꽁치 동태 생선 조개류 쌀 보리 감자 고구마 메밀 효소 소맥배아  채소 뱀장어 정어리 강낭콩 콩 토마토 당근 귤 오렌지 레몬 김 현미 깨 멸치 두유 우유
오이 소르베,"오이(100g), 셀러리 줄기(15g), 요거트(60g), 과일(20g), 라임즙(5g), 아가베 시럽(5g)","라임즙, 오이, 과일, 아가베 시럽, 요거트, 셀러리 줄기","1. 오이는 껍질을 제거한 뒤 큼직하게 썰고, 셀러리는 필러로 겉껍질을 벗겨 큼직하게 썬다.2. 손질한 오이와 셀러리에 양념을 넣어 믹서에 곱게 간다.3. 면포에 간 오이와 셀러리를 부은 뒤 즙만 짠다.4. 오이셀러리 즙을 밀폐 용기에 넣어 냉동실에서 3시간 이상 얼린다.5. 요거트에 얼린 오이소르베를 얹고 과일을 곁들인다.",당뇨병,다시마 미역 김 해파리 채소 쑥 토마토 고추 오이 가지 마늘 양파 도라지 무 당근 우엉 상추 양배추 시금치 브로콜리 부추 버섯 표고버섯 송이버섯 느타리버섯 팽이버섯 목이버섯 복숭아 포도 사과 배 감 귤 매실 잣 호두 아몬드 호박씨 해바라기씨 땅콩 참깨 찹쌀 현미 흑미 콩 수수 보리쌀 우뭇가사리 강낭콩 
리코타치즈 카프레제,"방울토마토(100g), 우유(370㎖), 레몬즙(20g), 발사믹식초(10g), 레몬즙(1g), 올리브유(10g)","올리브유, 발사믹식초, 레몬즙, 방울토마토, 우유","1. 냄비에 우유(370㎖)를 넣어 센 불로 올린 뒤 가장자리가 끓어오르면 레몬즙(20g)을 넣어 몽글해질 때까지 젓는다.2. 물에 적신 면포에 끓인 우유를 넣고 물기를 제거해 리코타치즈를 만든다.3. 냄비에 발사믹식초(10g), 레몬즙(1g)을 넣어 2분간 끓이다가 올리브유(10g)를 넣어 섞은 뒤 불을 꺼 발사믹 드레싱을 만든다.4. 방울토마토는 반으로 썰고, 굳힌 리코타치즈는 한입 크기로 만든다.5. 그릇에 방울토마토와 리코타치즈를 올리고 발사믹 드레싱을 뿌린다.",뇌졸중,두부 된장 청국장 호두 잣 정어리 다시마 미역 꽁치 동태 생선 조개류 쌀 보리 감자 고구마 메밀 효소 소맥배아  채소 뱀장어 정어리 강낭콩 콩 토마토 당근 귤 오렌지 레몬 김 현미 깨 멸치 두유 우유
연두부 카프레제,"깻잎(2장), 양파(20g), 방울토마토(5개=50g), 연두부(100g), 두부(100g), 다진 마늘(10g), 치즈(40g), 간장(8g), 올리브유(30g), 참기름(15g)","올리브유, 치즈, 연두부, 참기름, 방울토마토, 두부, 간장, 다진 마늘, 양파, 깻잎","1. 방울토마토는 3등분하고, 깻잎과 양파는 곱게 다진다.2. 연두부와 두부를 크림 형태가 될 때까지 으깬다.3. 다진 깻잎과 양파에 깻잎 드레싱 재료를 넣어 고루 섞는다.4. 중간 불로 달군 팬에 다진 마늘을 볶아 마늘 플레이크를 만든다.5. 그릇에 연두부 크림과 방울토마토, 치즈를 올린다.6. 깻잎 드레싱을 뿌리고 마늘 플레이크를 올려 마무리한다.",아토피성 피부염,채소 과일 브로콜리 케일 채소 귤 사과 배 쌀 보리 현미 녹두 팥 우리밀 콩 검은콩 두부 두유 된장 청국장 명태 조기 갈치 오징어 멸치동태 대구 낙지 문어 굴 해삼 조개 멸치 흰살 꽁치 동태 생선 올리브기름 참기름 들기름 올리브유 강낭콩
연두부 토마토,"연두부(70g), 방울토마토(6~7개=50g), 스트링치즈(40g), 어린잎채소(약간), 발사믹식초(5g), 사과(150g), 사과주스(50g), 플레인 요거트(30g)","발사믹식초, 사과, 연두부, 방울토마토, 어린잎채소, 사과주스, 스트링치즈, 플레인 요거트",1. 믹서에 사과와 사과주스를 넣고 곱게 간 뒤 플레인 요거트를 섞어 사과드레싱을 만든다.2. 연두부는 9cm 크기로 썬 뒤 중앙 부분을 파낸다.3. 방울토마토와 스트링치즈는 굵게 다진 뒤 사과드레싱에 버무린다.4. 버무려진 방울토마토와 스트링치즈로 연두부 속을 채운 뒤 사과드레싱을 올린다.5. 그릇에 발사믹 식초를 바른 뒤 속 채운 연두부를 올리고 어린잎채소를 곁들인다.,당뇨병,다시마 미역 김 해파리 채소 쑥 토마토 고추 오이 가지 마늘 양파 도라지 무 당근 우엉 상추 양배추 시금치 브로콜리 부추 버섯 표고버섯 송이버섯 느타리버섯 팽이버섯 목이버섯 복숭아 포도 사과 배 감 귤 매실 잣 호두 아몬드 호박씨 해바라기씨 땅콩 참깨 찹쌀 현미 흑미 콩 수수 보리쌀 우뭇가사리 강낭콩 
시금치크림치즈 빵,"(반죽재료) 통밀가루 50g, 강력분 200g, 인스턴트 드라이 이스트 3g, 사과종 45ml, 물 120ml, 소금 2g, 달걀 50g(1개), 올리브유 15g, 시금치 소량, 말린 방울토마토 4~5개
(속재료) 시금치 50g, 다진 마늘 3g,  볶음 참깨 60g, 올리브유 8g, 소금 소량, 후추 소량, 크림치즈 100g","올리브유, 말린방울토마토, 물, 인스턴트드라이이스트, 강력분, 소금, 달걀, 시금치 소량, 통밀가루, 사과종, 올리브유, 소금 소량, 다진마늘, 후추 소량, 시금치, 볶음참깨, 크림치즈","1. (속재료) 시금치, 다진 마늘, 볶은 참깨, 올리브유, 소금, 후추를 블랜더로 갈아 시금치 페스토를 만들고 크림치즈와 섞는다.2. 물, 계란, 소금, 올리브유, 사과종, 드라이 이스트와 체 친 가루류를 넣고 한 덩이가 되도록 반죽한 뒤 시금치를 작게 잘라 넣어 섞는다.3. 매끈한 반죽이 되면 8등분 하여 둥글리기를 하고 15분간 중간 발효한다.4. 중간 발효가 끝난 반죽을 납작하게 펴고 안에 시금치 필링을 넣어 잘 봉합한 뒤 팬에 놓고 살짝 눌러준다.5. ""중앙에 말린 방울토마토를 얹어 30분간 2차 발효 한다.
★방울토마토를 반으로 잘라 100℃ 오븐에 1시간 구워 사용했어요.""6. 180℃로 예열한 오븐에 15분간 굽는다.",빈혈,육류 돼지고기 쇠고기 양고기 말고기 염소고기 간 계란 노른자 아몬드 잣 호두 호박씨 해바라기씨 땅콩 참깨 굴 미역 꽁치 동태 생선 키위 시금치 버섯 표고버섯 송이버섯 느타리버섯 팽이버섯 목이버섯 콩 강낭콩 순무 아스파라거스  고기 꽁치 동태 생선 달걀 콩 두부 두유 치즈 간 굴 정어리 분유 계란 달걀 계란 노른자 귤 과일 채소
무말랭이김치,"무말랭이 10g, 식초 30g, 설탕 25g, 레몬 8g, 당근 5g, 오이 5g, 피클링스파이스 5g, 물 100g","레몬, 설탕, 오이, 물, 무말랭이, 식초, 당근, 피클링스파이스","1. 무말랭이를 물에 불린다.2. 식초, 설탕, 피클링스파이스, 물을 넣고 끓인다.3. 끓인 물을 식힌다.4. 레몬, 당근, 오이를 적당한 크기로 자른다.5. 4를 3에 넣어 하루 이상 숙성시킨다.6. 보기 좋게 담는다.",뇌졸중,두부 된장 청국장 호두 잣 정어리 다시마 미역 꽁치 동태 생선 조개류 쌀 보리 감자 고구마 메밀 효소 소맥배아  채소 뱀장어 정어리 강낭콩 콩 토마토 당근 귤 오렌지 레몬 김 현미 깨 멸치 두유 우유
