,userID,age,sex,관심등록기관,관심등록질환,건강기능식품하트기록,레시피북마크기록
276,276,25,F,수면질 ,협심증,"[1180, 22787, 11789, 15601, 6034, 14464, 21435, 10617, 2228, 27282, 13751, 16275, 4225, 9061, 22073, 8582, 15471, 9778, 25312, 24440, 2984, 30261, 4881, 23761, 1455, 20747, 26539, 25172, 26921, 9607, 15200, 9737, 215, 13727, 21413, 28042, 27907, 1874, 14198, 19800, 27733, 26019, 13276, 15519, 22222, 8636, 7312, 8122, 20569, 2046]","[757, 29, 24, 1150, 879, 460, 521, 69, 377, 1060, 1224, 744, 709, 868, 687, 662, 504, 973, 345, 1046, 673, 410, 1059, 162, 999, 447, 1015, 1067, 241, 300, 344, 703, 564, 1038, 947, 992, 219, 710, 800, 506, 254, 641, 58, 1205, 737, 580, 701, 1158, 196, 23]"
277,277,20,M,갱년기남성 ,간염,"[29970, 1878, 21809, 19543, 7124, 4587, 21097, 6627, 10671, 1042, 14988, 4195, 18533, 18354, 26368, 23050, 23152, 769, 8195, 19818, 14816, 25436, 18135, 12935, 27219, 30521, 4, 17081, 13082, 2307, 28781, 5628, 667, 415, 26187, 19599, 14238, 1590, 13773, 4577, 19897, 22815, 15794, 5689, 28691, 25565, 11229, 27264, 549, 5789]","[260, 1026, 58, 1077, 75, 589, 500, 686, 20, 577, 178, 959, 29, 1083, 996, 310, 686, 292, 856, 262, 805, 952, 249, 270, 675, 1145, 261, 36, 799, 829, 530, 805, 155, 152, 898, 697, 253, 562, 1010, 1216, 258, 362, 422, 1158, 1179, 1137, 1179, 119, 358, 1073]"
278,278,31,F,위  ,당뇨병,"[7529, 13179, 9650, 27028, 27472, 16993, 27126, 3523, 5965, 20989, 27969, 25386, 18741, 7568, 8209, 13954, 27712, 26241, 2873, 12519, 9546, 9227, 22786, 8282, 517, 15370, 1867, 2393, 11598, 16043, 28958, 18306, 5188, 12341, 11154, 7283, 3216, 762, 29204, 8349, 28480, 30201, 14661, 1587, 17390, 29956, 30309, 17334, 20815, 2317]","[194, 908, 109, 429, 693, 305, 667, 1141, 1220, 112, 743, 533, 786, 755, 957, 674, 113, 944, 269, 591, 585, 1091, 1136, 1057, 1228, 360, 900, 530, 321, 626, 319, 627, 945, 123, 206, 13, 749, 348, 816, 283, 706, 251, 882, 587, 1130, 1075, 427, 479, 272, 1237]"
279,279,53,F,활성산소 제거,고혈압,"[1080, 24148, 14838, 26004, 23226, 16116, 15811, 1349, 1530, 11537, 25828, 27358, 22240, 4370, 20122, 17172, 1639, 30787, 30084, 7166, 1916, 22339, 24792, 18542, 20385, 3138, 10784, 4988, 26691, 8908, 14850, 21856, 11570, 2734, 26532, 12282, 10620, 19485, 30731, 10658, 8744, 7472, 13730, 9291, 7638, 8289, 14408, 14350, 21532, 23506]","[290, 1050, 367, 1188, 513, 187, 1163, 504, 182, 916, 782, 976, 712, 835, 816, 157, 221, 99, 560, 674, 1145, 1031, 960, 865, 835, 977, 639, 111, 878, 69, 1055, 715, 917, 1210, 234, 1174, 110, 526, 916, 272, 427, 1046, 370, 514, 8, 808, 322, 155, 256, 23]"
280,280,40,F,위  ,협심증,"[20067, 12361, 17061, 10475, 19356, 26906, 23536, 12277, 14117, 9568, 5270, 20729, 21454, 15969, 20394, 27413, 2740, 28895, 8741, 6230, 24395, 3122, 13525, 30489, 7978, 19346, 14973, 43, 7309, 26081, 30637, 25796, 10201, 8733, 11772, 24361, 1442, 7234, 24446, 2834, 12198, 18866, 16429, 19678, 21023, 24493, 17883, 18381, 14895, 4724]","[700, 428, 657, 569, 51, 409, 1198, 589, 533, 213, 1007, 231, 548, 955, 209, 111, 444, 106, 836, 165, 852, 563, 1219, 1214, 632, 440, 140, 141, 221, 392, 1185, 211, 824, 457, 412, 190, 393, 209, 636, 907, 457, 542, 748, 907, 416, 1225, 514, 702, 761, 576]"
281,281,50,F,장 ,고혈압,"[3169, 1745, 8232, 17287, 22083, 9159, 835, 28898, 21928, 21840, 24437, 29566, 5058, 7112, 12307, 17166, 7103, 21409, 9388, 7441, 7686, 4107, 13502, 24254, 30109, 19020, 18885, 1527, 26241, 9482, 29667, 2193, 12278, 14134, 14220, 5131, 22395, 19271, 19697, 8943, 824, 5024, 10054, 5811, 18488, 4881, 10706, 19347, 8704, 492]","[603, 948, 730, 613, 922, 47, 1104, 274, 18, 845, 830, 658, 242, 406, 810, 41, 1080, 930, 500, 819, 81, 716, 1226, 76, 648, 996, 824, 615, 36, 407, 573, 1185, 917, 1228, 933, 959, 754, 120, 326, 580, 145, 148, 977, 363, 162, 548, 440, 910, 71, 941]"
282,282,52,F,갱년기남성 ,간염,"[29276, 24285, 15687, 2103, 26381, 26557, 30537, 11016, 8936, 29287, 16271, 25550, 24880, 24438, 5639, 27235, 8034, 447, 8078, 3283, 29786, 23166, 9407, 12802, 2016, 9914, 25271, 9620, 13563, 16833, 12280, 17131, 23478, 11073, 9036, 5050, 10797, 1263, 24360, 9928, 21553, 7877, 27216, 27827, 19525, 30707, 5915, 23716, 13240, 15219]","[1110, 291, 268, 800, 66, 1184, 762, 782, 1128, 890, 533, 1194, 902, 264, 415, 1098, 1166, 913, 1223, 936, 897, 653, 646, 277, 908, 1120, 1123, 386, 285, 1212, 505, 1095, 17, 1025, 429, 775, 1000, 729, 506, 1013, 724, 439, 778, 187, 297, 453, 391, 1104, 461, 559]"
283,283,57,F,장 ,협심증,"[16785, 29889, 11410, 23290, 18615, 6483, 21213, 10244, 12132, 2194, 3055, 24923, 13279, 12682, 24122, 28611, 28015, 29102, 6125, 29083, 17439, 3960, 25023, 30797, 811, 27988, 8606, 29342, 12692, 4046, 13603, 28853, 28026, 15440, 11023, 18079, 20468, 29955, 28355, 3792, 19677, 15945, 3281, 5824, 26194, 12017, 26678, 9738, 30633, 2739]","[2, 361, 30, 794, 1163, 142, 64, 782, 915, 1121, 325, 493, 104, 557, 1021, 1093, 1032, 874, 847, 969, 537, 985, 952, 374, 572, 180, 530, 1027, 1187, 565, 79, 478, 766, 11, 270, 767, 110, 1046, 102, 616, 368, 1129, 803, 107, 641, 641, 1114, 292, 454, 1079]"
284,284,58,F,피로 ,고혈압,"[30590, 17965, 4475, 21794, 28077, 18401, 28402, 29424, 15136, 24995, 15477, 297, 17951, 17933, 18825, 3682, 23823, 380, 26566, 9060, 23452, 5935, 9651, 7708, 12793, 19578, 7619, 17869, 4043, 28067, 8595, 8347, 22499, 13388, 1705, 23454, 15661, 17477, 28317, 26730, 27028, 26199, 4749, 10954, 20800, 26100, 7865, 15431, 1937, 6008]","[287, 745, 553, 803, 24, 412, 1113, 1121, 1032, 528, 411, 870, 798, 259, 537, 615, 172, 376, 403, 980, 950, 1056, 227, 1154, 1083, 640, 21, 653, 784, 1216, 490, 872, 314, 649, 790, 2, 140, 497, 299, 507, 1022, 390, 799, 94, 12, 1197, 1011, 133, 436, 770]"
285,285,25,F,질  ,아토피성 피부염,"[29163, 22878, 27933, 20926, 4887, 13462, 6259, 6473, 15938, 21184, 20810, 22644, 8915, 10062, 28772, 2594, 16727, 23728, 18457, 20950, 5216, 12433, 17906, 10306, 28387, 9844, 27088, 10948, 7012, 29783, 6510, 4467, 1937, 12985, 5030, 29628, 17591, 11754, 29044, 508, 220, 19930, 26980, 21302, 1971, 2935, 29538, 30723, 23271, 29548]","[216, 166, 888, 74, 1135, 178, 1022, 931, 468, 730, 913, 1060, 187, 520, 660, 575, 73, 860, 586, 689, 393, 496, 632, 990, 727, 205, 956, 662, 675, 1177, 246, 822, 434, 107, 936, 398, 1219, 577, 896, 752, 830, 592, 942, 725, 812, 185, 694, 523, 797, 336]"
286,286,33,M,전립선 ,고혈압,"[29010, 9489, 22287, 15963, 10114, 633, 23116, 17981, 11037, 27712, 3731, 9403, 19390, 6061, 16263, 13124, 3893, 27631, 10399, 18514, 6020, 17125, 23763, 26391, 1158, 9474, 19028, 25195, 16123, 1155, 7929, 13154, 24298, 27182, 26540, 21718, 2037, 19598, 20269, 30263, 10887, 23845, 18897, 25135, 10535, 19450, 9354, 436, 264, 7542]","[18, 733, 1135, 924, 626, 798, 523, 524, 200, 77, 1004, 843, 683, 947, 1206, 1004, 597, 358, 1043, 544, 58, 571, 240, 1121, 1174, 298, 398, 743, 815, 340, 1193, 1076, 537, 37, 1165, 981, 140, 456, 1202, 36, 533, 323, 136, 1062, 1013, 782, 523, 602, 592, 411]"
287,287,29,F,요로 ,빈혈,"[1309, 3932, 11181, 1792, 6455, 28990, 21284, 9744, 27291, 22879, 3517, 2928, 13012, 8546, 2869, 10126, 21871, 7699, 20437, 19532, 22363, 20349, 24281, 14695, 6688, 10296, 9324, 6811, 17681, 20740, 30701, 10413, 8229, 18038, 2847, 3213, 12008, 5930, 12714, 18574, 24453, 23093, 29932, 10188, 11434, 24582, 7576, 23298, 9263, 11795]","[55, 649, 382, 549, 151, 195, 1018, 1060, 1205, 190, 881, 167, 761, 1066, 66, 984, 660, 1099, 1211, 108, 699, 1185, 113, 312, 1029, 1056, 884, 835, 817, 516, 733, 276, 564, 764, 977, 127, 315, 1145, 452, 744, 1025, 285, 912, 721, 717, 1050, 743, 329, 36, 695]"
288,288,59,F,혈행 ,아토피성 피부염,"[27664, 4237, 18289, 25719, 20919, 12832, 22862, 4109, 24399, 9911, 21632, 27789, 15254, 16949, 22970, 25569, 22695, 8133, 2938, 21922, 7455, 6073, 15838, 12055, 9440, 18181, 17153, 266, 14034, 9205, 548, 16303, 5925, 27389, 12235, 21243, 16033, 21934, 15638, 26037, 24358, 27139, 28185, 18110, 8994, 25380, 25725, 24725, 17226, 16689]","[484, 882, 278, 462, 796, 314, 59, 718, 1127, 1051, 1031, 732, 15, 804, 460, 540, 142, 683, 168, 847, 1062, 390, 1188, 119, 298, 993, 649, 1034, 791, 535, 964, 521, 1139, 366, 783, 1146, 459, 803, 1098, 1073, 1173, 513, 745, 801, 1063, 310, 1200, 1162, 1219, 953]"
289,289,19,M,체지방 감소,심근경색증,"[12754, 28696, 2500, 1457, 958, 18670, 26337, 1693, 23888, 15447, 17431, 16744, 4579, 17185, 23230, 30326, 10340, 26720, 7859, 454, 2040, 14941, 19199, 9462, 3497, 21220, 16381, 5968, 19218, 19686, 18265, 26031, 23901, 7345, 1035, 17005, 6197, 24016, 22326, 20460, 9130, 5350, 12312, 2669, 777, 17030, 13933, 2504, 12833, 24309]","[137, 412, 1197, 1019, 680, 180, 1031, 871, 675, 584, 78, 534, 175, 669, 686, 730, 413, 460, 968, 370, 910, 689, 1081, 128, 103, 310, 815, 547, 502, 1179, 431, 136, 605, 1218, 695, 454, 871, 712, 176, 511, 949, 301, 1072, 1230, 476, 196, 878, 1215, 163, 769]"
290,290,39,F,콜레스테롤 ,당뇨병,"[3203, 15560, 29306, 757, 4077, 13844, 23642, 30629, 29215, 2887, 13247, 3119, 22001, 13307, 199, 10357, 14916, 10611, 26777, 22578, 15398, 8618, 1066, 24372, 5460, 9503, 25036, 11636, 4779, 22497, 12175, 1967, 7658, 1284, 17895, 24863, 10002, 1900, 17747, 6035, 41, 4470, 23764, 3143, 18764, 19706, 17606, 19262, 1065, 3676]","[469, 357, 900, 182, 59, 705, 1162, 991, 189, 668, 146, 591, 402, 626, 1175, 1120, 176, 1188, 717, 682, 971, 749, 435, 426, 880, 1180, 628, 405, 977, 165, 1065, 454, 1226, 344, 789, 424, 215, 1084, 696, 59, 487, 330, 621, 265, 415, 1050, 764, 379, 814, 668]"
291,291,27,F,콜레스테롤 ,뇌졸중,"[22452, 30048, 4174, 4908, 29800, 15710, 6572, 26609, 28071, 5578, 30405, 9045, 7697, 8949, 13116, 9491, 1485, 17163, 29989, 4454, 20632, 12758, 232, 20479, 10883, 9877, 1466, 19242, 5293, 27442, 3274, 7132, 17330, 25060, 30167, 1470, 23694, 30664, 26265, 5815, 19166, 5326, 17260, 3617, 7541, 22930, 15780, 2137, 28092, 2752]","[773, 551, 641, 1035, 783, 775, 675, 1240, 667, 1075, 780, 1085, 568, 423, 904, 1163, 655, 898, 504, 917, 899, 130, 471, 795, 766, 665, 854, 134, 1130, 1236, 259, 975, 96, 521, 1023, 74, 1149, 212, 431, 817, 1215, 863, 1224, 518, 711, 1076, 18, 723, 997, 727]"
292,292,36,M,장 ,아토피성 피부염,"[25565, 21426, 2764, 6642, 4422, 26714, 6735, 12084, 27748, 26523, 23188, 29239, 2828, 15032, 12994, 26945, 14061, 20929, 7739, 27816, 24086, 15954, 13439, 7696, 25620, 3233, 22301, 553, 29437, 2719, 15459, 18676, 29431, 9837, 12655, 18098, 27844, 28690, 21333, 27017, 15226, 18328, 7212, 7275, 28968, 13596, 18987, 23641, 20900, 25641]","[212, 394, 381, 1195, 168, 159, 542, 919, 979, 1063, 67, 92, 679, 257, 58, 918, 365, 345, 112, 118, 548, 1231, 652, 30, 115, 1075, 1059, 330, 218, 1162, 931, 706, 929, 674, 24, 1182, 35, 694, 627, 682, 730, 101, 525, 377, 927, 233, 707, 289, 646, 533]"
293,293,23,F,피로 ,심근경색증,"[8571, 20380, 14757, 17731, 18652, 16160, 19418, 13552, 19340, 23320, 15455, 24056, 7903, 1078, 10163, 15501, 10555, 13935, 23858, 28082, 1882, 17623, 6225, 8061, 21740, 6219, 402, 24265, 11567, 4321, 20690, 28830, 4807, 11152, 9629, 9365, 1278, 4679, 13772, 14144, 28271, 26744, 309, 3440, 10198, 12243, 30013, 328, 20297, 13149]","[134, 831, 912, 269, 428, 148, 322, 848, 265, 701, 893, 187, 1240, 739, 478, 233, 440, 359, 344, 660, 1128, 63, 367, 1212, 1043, 113, 148, 43, 942, 681, 1110, 113, 482, 430, 375, 449, 863, 765, 426, 783, 961, 43, 1220, 153, 315, 1133, 444, 967, 583, 632]"
294,294,54,M,요로 ,천식,"[7178, 3257, 11939, 7995, 29295, 2497, 6570, 24254, 13969, 7434, 16607, 22407, 2459, 21036, 2713, 21034, 6631, 19460, 28326, 17900, 14561, 3492, 14630, 13556, 16649, 3240, 11152, 24160, 9308, 5961, 2510, 28576, 15286, 22207, 12403, 20700, 19613, 21747, 6148, 16160, 11562, 7751, 22745, 21290, 17007, 12361, 22749, 23471, 19490, 30522]","[37, 1012, 245, 899, 386, 536, 114, 651, 109, 1115, 984, 946, 33, 281, 38, 767, 7, 306, 1056, 487, 749, 459, 137, 234, 650, 540, 1072, 490, 475, 304, 346, 542, 11, 830, 988, 173, 1080, 766, 86, 456, 470, 54, 270, 792, 42, 930, 865, 59, 806, 1144]"
295,295,59,M,피부 ,심근경색증,"[401, 6338, 13324, 21124, 9240, 30283, 30634, 28788, 11900, 5598, 23481, 11315, 12663, 30146, 3378, 5088, 21472, 7745, 17533, 27373, 11897, 9783, 4253, 22116, 13962, 28747, 16765, 23861, 591, 25741, 15664, 23800, 14804, 24603, 2612, 30550, 29625, 26307, 29794, 455, 6401, 7301, 24252, 25848, 17209, 5887, 3043, 26968, 16585, 2604]","[1150, 1085, 494, 972, 767, 419, 103, 127, 509, 37, 581, 1217, 1199, 137, 440, 159, 984, 167, 748, 980, 964, 1171, 237, 930, 295, 10, 492, 863, 32, 1036, 306, 377, 654, 222, 1150, 328, 160, 264, 561, 683, 741, 9, 0, 927, 1197, 419, 321, 195, 283, 333]"
296,296,49,M,월경전변화 ,심근경색증,"[18476, 22651, 13843, 12558, 13012, 12200, 20013, 15880, 2192, 28481, 7893, 18680, 23621, 4668, 23684, 9282, 13088, 18176, 24098, 17278, 447, 22657, 29729, 29188, 26873, 1889, 27, 6488, 15765, 2526, 19975, 5870, 19090, 19735, 25785, 3396, 15581, 14628, 7585, 1052, 28605, 22074, 7250, 12350, 26925, 19105, 5373, 27119, 3810, 22750]","[628, 1178, 1053, 1204, 1080, 447, 854, 252, 951, 716, 1023, 697, 960, 45, 292, 604, 618, 490, 647, 865, 588, 944, 1206, 791, 670, 787, 748, 1133, 346, 9, 177, 83, 963, 534, 1222, 1117, 674, 437, 1149, 693, 1040, 616, 720, 885, 179, 514, 1024, 954, 623, 861]"
297,297,36,F,어린이키성장,뇌졸중,"[8776, 7256, 10287, 21250, 12832, 19600, 19039, 19414, 9710, 10805, 7173, 14868, 374, 22484, 8968, 3091, 16574, 21032, 28370, 16676, 25698, 8013, 9925, 21349, 25197, 1810, 30204, 12540, 1254, 13540, 8317, 21587, 11328, 27818, 26336, 478, 27051, 5074, 993, 16123, 2857, 1888, 1590, 5976, 10977, 27813, 6531, 14741, 9313, 13370]","[476, 630, 955, 234, 639, 941, 1085, 695, 173, 86, 435, 1033, 550, 878, 168, 1073, 381, 882, 1063, 957, 405, 716, 427, 123, 193, 686, 721, 810, 256, 294, 396, 228, 384, 129, 336, 824, 258, 1049, 644, 156, 826, 885, 448, 525, 1085, 342, 1191, 1063, 775, 613]"
298,298,55,F,눈 ,천식,"[13772, 27179, 23220, 25506, 24795, 12171, 16199, 22615, 3167, 8621, 17047, 18792, 14699, 9004, 29768, 14875, 27263, 23002, 2106, 8553, 3978, 9045, 24986, 2502, 18063, 23912, 784, 19992, 18199, 15442, 19681, 25744, 9848, 6557, 18246, 7215, 10065, 26283, 18407, 2906, 28147, 13128, 9404, 11677, 16523, 29257, 25543, 8979, 20765, 29150]","[842, 74, 1166, 852, 1087, 876, 169, 1025, 64, 753, 724, 866, 462, 1180, 1194, 583, 1153, 943, 988, 176, 340, 845, 969, 590, 1171, 823, 484, 258, 303, 869, 75, 589, 35, 458, 70, 707, 839, 56, 1086, 1196, 130, 528, 111, 905, 1019, 413, 46, 822, 110, 169]"
299,299,43,F,활성산소 제거,간염,"[27143, 9709, 9890, 18757, 7097, 28163, 20202, 25022, 30012, 11727, 15611, 14270, 29426, 12651, 28201, 27241, 3719, 14729, 3902, 7521, 10137, 29320, 26863, 28594, 17867, 1912, 27473, 5406, 18612, 3675, 15612, 14292, 16367, 21337, 26626, 18911, 12992, 14678, 20947, 22394, 2950, 15343, 8740, 27493, 9504, 4031, 25987, 16337, 2416, 23302]","[1096, 149, 430, 430, 325, 559, 431, 1233, 241, 677, 368, 641, 1035, 111, 840, 71, 1071, 451, 632, 759, 95, 426, 197, 1168, 1073, 814, 840, 490, 681, 906, 935, 8, 1155, 3, 468, 1146, 116, 493, 1211, 396, 501, 1123, 84, 218, 910, 119, 924, 581, 544, 234]"
300,300,40,M,요로 ,뇌졸중,"[23512, 6614, 10057, 15465, 768, 8511, 22849, 23144, 23073, 20843, 8583, 5792, 26642, 4391, 1731, 5768, 26069, 27881, 2670, 12977, 13843, 20123, 9527, 8760, 15913, 1719, 22770, 14150, 13150, 1022, 29421, 16236, 1787, 10837, 2194, 22365, 16334, 13270, 2567, 16366, 19982, 6398, 6770, 8230, 1356, 20309, 3127, 1876, 25343, 14689]","[1123, 459, 1010, 512, 257, 1, 839, 336, 457, 837, 553, 276, 737, 167, 1, 153, 529, 512, 397, 996, 476, 894, 270, 375, 985, 1007, 541, 25, 605, 507, 977, 9, 203, 1073, 549, 1185, 537, 25, 1231, 445, 488, 975, 4, 397, 220, 96, 1054, 348, 205, 1161]"
301,301,50,M,칼슘 흡수,간염,"[22076, 23819, 10958, 6221, 13310, 3320, 7989, 17803, 1033, 3665, 29752, 22729, 29358, 29090, 3124, 23825, 6769, 27754, 15058, 25505, 24991, 6402, 22834, 2871, 3025, 19328, 16975, 23598, 21446, 28249, 12833, 29614, 18828, 21374, 11966, 30581, 16323, 30426, 20923, 15220, 21296, 22164, 12569, 23014, 29239, 25075, 23077, 356, 21829, 1502]","[1177, 447, 1087, 119, 700, 759, 553, 484, 54, 481, 806, 13, 905, 1154, 160, 184, 718, 62, 1039, 304, 1090, 475, 702, 215, 872, 593, 1131, 141, 723, 124, 1073, 137, 1195, 265, 126, 979, 406, 1003, 1045, 472, 493, 274, 1174, 809, 1094, 479, 698, 24, 539, 191]"
302,302,48,F,간 ,간염,"[16241, 9935, 16261, 11244, 5804, 13242, 14332, 8281, 10047, 15318, 295, 13559, 10227, 5815, 5996, 22704, 1284, 8985, 17107, 1046, 2883, 20933, 4937, 25934, 28934, 12087, 20312, 3283, 22052, 1475, 2998, 11269, 27887, 18077, 13873, 6132, 17954, 3348, 27298, 26298, 52, 28257, 26168, 26504, 18545, 16299, 12884, 30099, 24990, 18984]","[355, 242, 468, 872, 161, 185, 861, 210, 810, 1199, 661, 673, 1057, 822, 152, 156, 1034, 636, 490, 509, 345, 823, 677, 861, 543, 165, 810, 748, 770, 363, 29, 151, 43, 462, 97, 517, 1024, 588, 318, 800, 1141, 775, 834, 117, 287, 1239, 1118, 263, 450, 480]"
303,303,52,M,배뇨기능 ,뇌졸중,"[12531, 16011, 19394, 11159, 27646, 12286, 26539, 19055, 9520, 23158, 12661, 6817, 14140, 28443, 20267, 28912, 21251, 12541, 17642, 25246, 26173, 24789, 26305, 30651, 25668, 23177, 20408, 17964, 10360, 24834, 16228, 3935, 24533, 26937, 8151, 27267, 16266, 28353, 14341, 17109, 4633, 16940, 24729, 25489, 4133, 24377, 19525, 2595, 10169, 29361]","[616, 99, 67, 200, 840, 368, 332, 1182, 167, 313, 467, 663, 1156, 839, 584, 424, 985, 1217, 652, 1182, 3, 501, 421, 92, 580, 396, 236, 369, 196, 324, 1, 479, 947, 1047, 400, 862, 878, 931, 920, 1103, 1110, 932, 182, 0, 818, 885, 669, 996, 815, 950]"
304,304,48,M,치아 ,고혈압,"[4055, 22437, 22117, 14837, 6080, 27395, 21460, 11761, 26951, 15645, 27658, 30189, 25993, 2984, 6620, 16181, 10041, 1494, 7547, 28544, 7105, 9787, 25871, 18775, 30093, 28620, 12350, 10606, 9248, 11574, 26129, 5807, 21122, 27070, 20873, 23346, 27773, 26250, 26605, 24933, 19768, 17363, 22664, 7098, 28408, 19458, 22527, 2885, 27223, 24453]","[1120, 535, 787, 1150, 542, 307, 1188, 622, 813, 737, 816, 433, 288, 82, 505, 729, 72, 635, 179, 1102, 813, 12, 257, 127, 167, 875, 348, 840, 554, 587, 485, 878, 675, 553, 633, 44, 883, 401, 172, 1129, 77, 674, 239, 841, 165, 478, 709, 1077, 786, 864]"
305,305,55,F,콜레스테롤 ,빈혈,"[6034, 21035, 27844, 29796, 9751, 29756, 6174, 14583, 6084, 28159, 15847, 27541, 3548, 22347, 3991, 5613, 22974, 30188, 20782, 5165, 13870, 11077, 30511, 12242, 17747, 27525, 19344, 29356, 20764, 3368, 27652, 6626, 23742, 1792, 2368, 26260, 24355, 6633, 16115, 2916, 11427, 25841, 10378, 1887, 16318, 134, 15110, 13881, 9961, 7941]","[255, 983, 439, 164, 905, 1003, 424, 1010, 508, 606, 275, 790, 148, 1227, 860, 1120, 1024, 613, 1061, 724, 420, 278, 317, 556, 371, 72, 426, 324, 72, 528, 484, 842, 738, 648, 159, 1051, 52, 1065, 211, 626, 447, 488, 85, 774, 509, 336, 1152, 178, 867, 447]"
306,306,56,F,인지능력 ,당뇨병,"[19311, 1910, 10065, 20876, 27799, 11033, 28033, 17672, 10004, 26876, 30755, 27478, 20343, 20158, 29893, 12859, 1317, 21449, 466, 28499, 13489, 15502, 20680, 21367, 9423, 23757, 17508, 5419, 699, 26588, 12024, 28846, 13521, 18758, 24368, 25852, 23295, 18566, 9705, 17949, 112, 7988, 28668, 30027, 20156, 14468, 19493, 29137, 21122, 5579]","[866, 368, 1238, 409, 1031, 937, 70, 447, 823, 735, 224, 528, 180, 1119, 260, 92, 94, 411, 295, 485, 83, 1171, 383, 880, 737, 507, 25, 300, 673, 743, 1051, 895, 407, 987, 1062, 1152, 369, 1150, 65, 660, 1240, 54, 1205, 556, 698, 631, 825, 1227, 1016, 233]"
307,307,35,F,장 ,심근경색증,"[11800, 9762, 29931, 23095, 6218, 11962, 5949, 16416, 3181, 8697, 1513, 9067, 410, 27486, 18557, 28718, 2100, 29674, 23894, 22863, 11737, 22997, 28361, 16479, 6825, 15220, 2294, 30178, 27339, 5968, 22151, 30237, 27960, 20808, 14978, 20950, 11422, 21432, 25686, 19587, 27372, 24718, 1079, 12868, 14643, 27493, 512, 4713, 11597, 10126]","[1196, 826, 1193, 790, 535, 629, 353, 99, 133, 460, 286, 750, 88, 66, 919, 836, 37, 1205, 238, 1050, 54, 956, 881, 1216, 579, 800, 1074, 507, 1003, 434, 565, 912, 452, 474, 1020, 936, 709, 1030, 242, 755, 791, 788, 956, 241, 1198, 558, 884, 618, 394, 340]"
308,308,38,F,질  ,간염,"[24216, 6468, 1895, 3789, 4630, 2866, 20144, 1382, 11466, 18914, 6502, 13519, 8937, 8164, 7722, 17175, 14784, 21579, 16483, 9898, 24978, 1741, 18638, 9062, 21702, 20290, 13543, 16275, 8400, 29529, 12582, 9762, 7334, 6768, 24721, 14864, 6160, 28205, 27511, 16297, 28592, 29775, 8609, 15456, 3833, 19038, 26534, 7106, 6397, 23528]","[385, 1167, 605, 711, 823, 613, 860, 14, 75, 1147, 42, 85, 516, 152, 990, 576, 281, 71, 399, 237, 24, 211, 1187, 1178, 701, 534, 191, 1113, 49, 837, 740, 950, 294, 249, 864, 113, 724, 988, 24, 379, 366, 591, 925, 579, 601, 675, 1239, 1098, 564, 1006]"
309,309,27,F,질  ,당뇨병,"[9820, 7832, 15788, 19383, 10496, 26091, 27427, 21494, 25353, 23672, 9143, 9915, 2794, 27192, 16777, 25715, 15627, 23727, 26951, 7995, 25792, 11450, 12555, 22199, 857, 17818, 29857, 30797, 5479, 14730, 13425, 5903, 10033, 335, 27666, 27434, 8960, 5790, 8451, 10726, 4261, 29019, 30419, 2151, 26151, 1408, 15718, 791, 6914, 12266]","[316, 590, 178, 112, 1123, 1035, 112, 432, 674, 719, 827, 826, 334, 286, 971, 996, 221, 665, 386, 355, 810, 555, 655, 787, 87, 137, 1001, 679, 1104, 142, 1162, 734, 1090, 84, 1170, 697, 317, 119, 353, 40, 890, 788, 64, 193, 525, 28, 569, 730, 411, 836]"
310,310,56,M,콜레스테롤 ,뇌졸중,"[3010, 6712, 10254, 3129, 16962, 28962, 23920, 30742, 16626, 11515, 24294, 27850, 5064, 17721, 10674, 30489, 27749, 17820, 29382, 28091, 18426, 10733, 28537, 9258, 20386, 19551, 11403, 2715, 26656, 21349, 24725, 28231, 27883, 8877, 14293, 4654, 22320, 18797, 6461, 21421, 19766, 27181, 24930, 4509, 28159, 30562, 2597, 22238, 26740, 1373]","[112, 480, 410, 905, 429, 772, 522, 313, 918, 469, 957, 257, 1168, 599, 960, 125, 505, 781, 23, 505, 113, 902, 1101, 28, 732, 236, 619, 214, 731, 420, 1218, 994, 220, 577, 370, 693, 753, 1166, 410, 1069, 887, 688, 993, 924, 564, 978, 1043, 971, 26, 484]"
311,311,35,F,수면질 ,심근경색증,"[19321, 12568, 25341, 10620, 23471, 4551, 8151, 5659, 24319, 16272, 28965, 30742, 7438, 30612, 9744, 1642, 13551, 23007, 954, 27788, 28407, 24478, 18302, 1553, 13695, 30211, 12262, 25197, 11050, 16744, 29217, 26767, 25931, 13343, 29004, 28764, 2122, 19278, 14123, 28646, 1898, 11940, 467, 28170, 8885, 24625, 6794, 11607, 16976, 6075]","[589, 546, 435, 856, 1070, 1000, 199, 28, 1164, 421, 988, 797, 87, 1020, 824, 856, 65, 1122, 34, 940, 954, 1112, 1223, 779, 432, 421, 313, 1108, 938, 168, 990, 800, 731, 101, 571, 767, 1199, 653, 722, 68, 1174, 205, 169, 1044, 291, 749, 43, 434, 413, 1022]"
